Date,AQI,PM25,Ozone,NO2,SO2,CO,Windspeed,Temperature,AQI_Label,AQI_Class
2/19/21,63,11.3795833,0.022190357,24.70459475,0.465833333,0.509995792,92.98765426,56.91282054,Safe,0
2/20/21,63,11.1620833,0.032431786,13.95327225,0.3319445,0.442995208,103.796605,55.44647438,Safe,0
2/21/21,64,9.500895118,0.030525,13.03311813,0.386805667,0.36771575,99.02854941,58.56987162,Safe,0
2/22/21,60,8.4901268,0.02334,19.63257931,0.44,0.42926475,91.79228396,63.28333338,Safe,0
2/23/21,63,11.206369,0.022672429,23.10338544,0.570833333,0.448077583,84.27654322,62.77371792,Safe,0
2/24/21,61,10.73166667,0.031970214,20.24025363,0.364120333,0.455048333,83.4743827,60.11923069,Safe,0
2/25/21,63,11.9195833,0.030048571,15.96857956,0.3670395,0.349968375,73.53996915,58.865064,Safe,0
2/26/21,66,13.1175,0.026228643,22.705813,0.3580555,0.449336333,92.11836411,58.86826923,Safe,0
2/27/21,70,12.91205241,0.03471,13.09558425,0.215277667,0.376955,85.25694444,57.88814092,Safe,0
2/28/21,62,9.1941667,0.033508357,11.52160313,0.216666667,0.348105417,73.77978396,58.68108969,Safe,0
3/1/21,64,6.8904166,0.026546214,18.47655119,0.248611167,0.367036417,82.25817904,58.63974362,Safe,0
3/2/21,60,8.8105556,0.028628786,20.70207569,0.328935167,0.427755167,90.57530859,58.73685892,Safe,0
3/3/21,57,8.9472283,0.027095429,18.13981781,0.122731167,0.393996583,64.21265433,49.60064092,Safe,0
3/4/21,59,10.085,0.029076286,16.68101875,0.177777833,0.398788,94.91567456,54.43641362,Safe,0
3/5/21,68,10.99950982,0.033378214,20.211271,0.307638833,0.453811792,98.94799381,60.50288462,Safe,0
3/6/21,60,9.6316666,0.031983286,12.21919144,0.309027833,0.355653792,87.01219133,56.72275646,Safe,0
3/7/21,56,7.4879166,0.035890786,6.75673675,0.0875,0.263005792,76.96820985,55.82211531,Safe,0
3/8/21,54,7.021666667,0.030693286,7.019939733,0.1194445,0.2374325,92.40941348,56.88108985,Safe,0
3/9/21,52,7.7741666,0.038470643,10.2083378,0.146527667,0.319331615,97.00509256,52.80416669,Safe,0
3/10/21,43,3.8179167,0.036176571,7.164549438,0.098611167,0.242914269,85.7209877,49.37948708,Safe,0
3/11/21,52,3.493723294,0.030297857,9.816356063,0.076388833,0.275461875,74.41172841,47.45160246,Safe,0
3/12/21,58,7.9437499,0.026647154,14.89190544,0.10625,0.367352875,94.24814819,48.33397431,Safe,0
3/13/21,64,12.2041666,0.0322375,10.73237094,0.129861167,0.342557333,81.63919752,52.35448715,Safe,0
3/14/21,57,9.528611067,0.039949429,5.739990938,0.104861167,0.257412333,83.98086422,54.725,Safe,0
3/15/21,43,4.4622727,0.034689071,6.412182875,0.075000167,0.223279042,101.7169752,49.99583323,Safe,0
3/16/21,49,5.6579167,0.025099643,12.00776925,0.112500167,0.2862655,88.86653444,49.76300354,Safe,0
