Date,Month,PM25,Ozone,NO2,SO2,CO,Windspeed,Temperature,AQI_Yesterday,AQI_Mean7,AQI_Nextday
2021-02-14,2,4.0912501,0.033890643,4.152608733,0.259027833,0.239673955,114.2833333,58.86762815,55.0,69.57142857142857,55.0
2021-02-15,2,9.044117647,0.0247185,14.68667113,0.334027667,0.364672455,64.92540685,55.05964454,43.0,65.57142857142857,57.0
2021-02-16,2,9.020749222,0.033670214,9.00497875,0.2380555,0.263785577,99.93912444,57.693809,55.0,61.857142857142854,57.0
2021-02-17,2,9.557870333,0.027553786,12.71955794,0.2618055,0.317459731,86.14814422,55.95546531,57.0,59.42857142857143,61.0
2021-02-18,2,8.575277733,0.026412786,16.76953225,0.4032375,0.38188688,88.31085859,56.314423,57.0,56.142857142857146,63.0
2021-02-19,2,11.3795833,0.022190357,24.70459475,0.465833333,0.509995792,92.98765426,56.91282054,61.0,55.857142857142854,63.0
2021-02-20,2,11.1620833,0.032431786,13.95327225,0.3319445,0.442995208,103.796605,55.44647438,63.0,57.0,64.0
2021-02-21,2,9.500895118,0.030525,13.03311813,0.386805667,0.36771575,99.02854941,58.56987162,63.0,60.0,60.0
2021-02-22,2,8.4901268,0.02334,19.63257931,0.44,0.42926475,91.79228396,63.28333338,64.0,60.714285714285715,63.0
2021-02-23,2,11.206369,0.022672429,23.10338544,0.570833333,0.448077583,84.27654322,62.77371792,60.0,61.57142857142857,61.0
2021-02-24,2,10.73166667,0.031970214,20.24025363,0.364120333,0.455048333,83.4743827,60.11923069,63.0,62.142857142857146,63.0
2021-02-25,2,11.9195833,0.030048571,15.96857956,0.3670395,0.349968375,73.53996915,58.865064,61.0,62.42857142857143,66.0
2021-02-26,2,13.1175,0.026228643,22.705813,0.3580555,0.449336333,92.11836411,58.86826923,63.0,62.857142857142854,70.0
2021-02-27,2,12.91205241,0.03471,13.09558425,0.215277667,0.376955,85.25694444,57.88814092,66.0,63.857142857142854,62.0
2021-02-28,2,9.1941667,0.033508357,11.52160313,0.216666667,0.348105417,73.77978396,58.68108969,70.0,63.57142857142857,64.0
2021-03-01,3,6.8904166,0.026546214,18.47655119,0.248611167,0.367036417,82.25817904,58.63974362,62.0,64.14285714285714,60.0
2021-03-02,3,8.8105556,0.028628786,20.70207569,0.328935167,0.427755167,90.57530859,58.73685892,64.0,63.714285714285715,57.0
2021-03-03,3,8.9472283,0.027095429,18.13981781,0.122731167,0.393996583,64.21265433,49.60064092,60.0,63.142857142857146,59.0
2021-03-04,3,10.085,0.029076286,16.68101875,0.177777833,0.398788,94.91567456,54.43641362,57.0,62.57142857142857,68.0
2021-03-05,3,10.99950982,0.033378214,20.211271,0.307638833,0.453811792,98.94799381,60.50288462,59.0,62.857142857142854,60.0
2021-03-06,3,9.6316666,0.031983286,12.21919144,0.309027833,0.355653792,87.01219133,56.72275646,68.0,61.42857142857143,56.0
2021-03-07,3,7.4879166,0.035890786,6.75673675,0.0875,0.263005792,76.96820985,55.82211531,60.0,60.57142857142857,54.0
2021-03-08,3,7.021666667,0.030693286,7.019939733,0.1194445,0.2374325,92.40941348,56.88108985,56.0,59.142857142857146,52.0
2021-03-09,3,7.7741666,0.038470643,10.2083378,0.146527667,0.319331615,97.00509256,52.80416669,54.0,58.0,43.0
2021-03-10,3,3.8179167,0.036176571,7.164549438,0.098611167,0.242914269,85.7209877,49.37948708,52.0,56.0,52.0
2021-03-11,3,3.493723294,0.030297857,9.816356063,0.076388833,0.275461875,74.41172841,47.45160246,43.0,55.0,58.0
2021-03-12,3,7.9437499,0.026647154,14.89190544,0.10625,0.367352875,94.24814819,48.33397431,52.0,53.57142857142857,64.0
2021-03-13,3,12.2041666,0.0322375,10.73237094,0.129861167,0.342557333,81.63919752,52.35448715,58.0,54.142857142857146,57.0
2021-03-14,3,9.528611067,0.039949429,5.739990938,0.104861167,0.257412333,83.98086422,54.725,64.0,54.285714285714285,43.0
2021-03-15,3,4.4622727,0.034689071,6.412182875,0.075000167,0.223279042,101.7169752,49.99583323,57.0,52.714285714285715,49.0
2021-03-16,3,5.6579167,0.025099643,12.00776925,0.112500167,0.2862655,88.86653444,49.76300354,43.0,52.285714285714285,58.0
2021-03-17,3,9.732664882,0.030437357,16.88296938,0.2208335,0.412544792,91.795216,53.00576915,49.0,54.42857142857143,64.0
2021-03-18,3,9.7508333,0.033503308,17.53325494,0.250694333,0.393456208,89.92026963,56.92147438,58.0,56.142857142857146,57.0
2021-03-19,3,7.6669746,0.027474385,15.49614813,0.275,0.391107962,95.29722226,58.96378208,64.0,56.0,54.0
2021-03-20,3,6.87,0.033280462,7.169984188,0.116666667,0.225717308,99.30354941,57.81602569,57.0,54.57142857142857,55.0
2021-03-21,3,9.2716667,0.036058923,8.481601063,0.206249833,0.286813042,93.88919752,56.83910254,54.0,54.285714285714285,56.0
2021-03-22,3,9.745,0.034668071,12.36154913,0.224305667,0.318463083,78.22577156,56.72403838,55.0,56.142857142857146,55.0
2021-03-23,3,8.644803941,0.038429714,8.970608188,0.147916667,0.241133458,103.7643518,58.42596154,56.0,57.0,56.0
2021-03-24,3,7.8585715,0.038461,10.05303013,0.190277667,0.261101045,102.4979166,61.22564108,55.0,56.714285714285715,55.0
2021-03-25,3,8.6308514,0.035416214,7.137034313,0.109722333,0.221897833,93.36875004,53.41538446,56.0,55.42857142857143,54.0
2021-03-26,3,7.849038462,0.029147071,10.54067019,0.235139,0.262198042,91.71023279,55.29304031,55.0,55.0,62.0
2021-03-27,3,11.1453125,0.031823643,14.99526731,0.420833333,0.391319417,96.41026782,60.64743592,54.0,56.142857142857146,77.0
2021-03-28,3,10.846875,0.0380295,13.35626137,0.380555667,0.401177542,101.9004463,67.90320515,62.0,59.285714285714285,67.0
2021-03-29,3,11.2802778,0.038525286,17.16059781,0.535416667,0.39308575,93.58794643,65.19647438,77.0,60.857142857142854,68.0
2021-03-30,3,14.14388089,0.033422214,11.68883038,0.211201,0.279971917,88.88586307,62.42795431,67.0,62.714285714285715,74.0
2021-03-31,3,12.79537033,0.037201571,19.70687844,0.434446167,0.394738833,93.38333325,69.49775646,68.0,65.28571428571429,80.0
2021-04-01,4,9.394230769,0.035605929,21.16977163,0.503472167,0.375775625,87.36314096,71.45961538,74.0,68.85714285714286,93.0
2021-04-02,4,11.83854163,0.041710214,14.64672519,0.318642167,0.353696583,90.24519231,63.10865385,80.0,74.42857142857143,112.0
2021-04-03,4,16.10052088,0.040621929,11.37853256,0.295833333,0.349290417,108.8450321,61.83076931,93.0,81.57142857142857,112.0
2021-04-04,4,12.83777773,0.037962214,11.66425506,0.49375,0.377641833,90.271795,64.01987169,112.0,86.57142857142857,62.0
2021-04-05,4,10.21302088,0.033096643,11.55387469,0.333333333,0.288375583,90.00496788,61.26474354,112.0,85.85714285714286,66.0
2021-04-06,4,11.2984375,0.033650714,10.84862175,0.264421,0.271287583,87.67387819,61.3375,62.0,85.57142857142857,87.0
2021-04-07,4,13.00256408,0.035573929,15.89809506,0.473926833,0.364986846,102.8669871,64.57980777,66.0,87.42857142857143,64.0
2021-04-08,4,11.72239588,0.035285071,13.27189588,0.4016865,0.329790885,90.63108973,64.00416669,87.0,85.14285714285714,80.0
2021-04-09,4,12.59635425,0.037886429,13.33694513,0.363194333,0.32469568,91.62724369,64.12211538,64.0,83.28571428571429,100.0
2021-04-10,4,15.4697222,0.042247857,11.35485731,0.423171167,0.321980667,94.13798065,64.27435892,80.0,81.57142857142857,101.0
2021-04-11,4,15.02604175,0.045991571,7.255015875,0.268750167,0.268168769,93.30689112,62.71474354,100.0,80.0,71.0
2021-04-12,4,14.81979163,0.045689071,7.032076375,0.176389,0.23264496,102.9495193,60.71378208,101.0,81.28571428571429,60.0
2021-04-13,4,11.5625,0.040033357,6.57056625,0.164583333,0.216190833,111.1156615,57.87905015,71.0,80.42857142857143,63.0
2021-04-14,4,10.3,0.037759857,7.588853813,0.2125,0.211300542,111.7620192,56.53012823,60.0,77.0,67.0
2021-04-15,4,12.29322925,0.036579714,11.35138806,0.272916833,0.288503708,92.3328525,57.10032054,63.0,77.42857142857143,75.0
2021-04-16,4,14.33010207,0.037650857,11.93925494,0.346527667,0.306323125,95.52964735,60.02115377,67.0,76.71428571428571,93.0
2021-04-17,4,13.4296875,0.0365,10.06480988,0.305555667,0.310688458,89.49278838,61.85160254,75.0,75.71428571428571,71.0
2021-04-18,4,9.331770875,0.040348714,9.460688313,0.296527667,0.326464375,93.43173081,70.35576923,93.0,71.42857142857143,80.0
2021-04-19,4,11.44551277,0.041684143,15.30537988,0.547916667,0.360714769,96.49647435,69.78012815,71.0,72.71428571428571,74.0
2021-04-20,4,13.00773814,0.042369714,8.720086,0.228472167,0.256873385,93.74567308,61.68846154,80.0,74.71428571428571,58.0
2021-04-21,4,8.717857143,0.039201786,5.224506875,0.197222167,0.192749154,96.71169869,58.39583346,74.0,74.0,55.0
2021-04-22,4,7.780654786,0.038783286,7.084298125,0.188889,0.20837972,113.9325321,58.07980762,58.0,72.28571428571429,60.0
2021-04-23,4,8.42239575,0.039134357,7.36839075,0.218244833,0.222494,110.5826922,59.16987177,55.0,70.14285714285714,59.0
2021-04-24,4,9.435947667,0.0384075,5.989096563,0.215277833,0.221027423,119.6711538,59.44230777,60.0,65.28571428571429,56.0
2021-04-25,4,6.320555533,0.039529429,3.942368563,0.1694445,0.198272192,111.3251602,58.34647431,59.0,63.142857142857146,42.0
2021-04-26,4,4.065740778,0.038318,5.348409938,0.1819445,0.17782472,111.2629808,56.94871785,56.0,57.714285714285715,53.0
2021-04-27,4,6.23802075,0.033075538,6.974238125,0.215972333,0.194568542,91.88942312,58.13333331,42.0,54.714285714285715,61.0
2021-04-28,4,8.788095214,0.033146429,14.328771,0.385416667,0.301733958,90.65913462,66.81826923,53.0,55.142857142857146,90.0
2021-04-29,4,10.83101856,0.037529786,18.51214669,0.595833333,0.368460038,91.91522435,72.81826915,61.0,60.142857142857146,133.0
2021-04-30,4,13.1091667,0.042824357,18.86020413,0.6006945,0.395739038,97.301923,74.87532054,90.0,70.57142857142857,90.0
2021-05-01,5,11.24423077,0.039882357,9.064710067,0.309027667,0.259147417,93.58798077,65.388782,133.0,75.0,61.0
2021-05-02,5,9.2097463,0.035361286,3.935036067,0.186111,0.176575125,95.80737181,62.20801292,90.0,75.71428571428571,70.0
2021-05-03,5,12.4399999,0.0339915,9.028973533,0.321527833,0.23820213,107.4488782,65.83814092,61.0,79.71428571428571,100.0
